ltable_ID,ltable_Title,rtable_ID,rtable_Title
A_0005,Jumanji: Welcome to the Jungle,B_0006,Jumanji: Welcome to the Jungle
A_0007,Thor: Ragnarok,B_0004,Thor: Ragnarok
A_0012,Justice League,B_0001,Justice League
A_0027,Wonder Woman,B_0334,Wonder Woman
A_0031,Dunkirk,B_0176,Dunkirk
A_0037,Spider-Man: Homecoming,B_0269,Spider-Man: Homecoming
A_0040,Baby Driver,B_0302,Baby Driver
A_0043,Guardians of the Galaxy Vol. 2,B_0365,Guardians of the Galaxy Vol. 2
A_0048,Valerian and the City of a Thousand Planets,B_0208,Valerian and the City of a Thousand Planets
A_0052,Coco,B_0035,Coco
A_0054,Love,B_1199,Love
A_0056,"I, Tonya",B_0022,"I, Tonya"
A_0057,Lady Bird,B_0008,Lady Bird
A_0062,Ferdinand,B_0002,Ferdinand
A_0063,Pitch Perfect 3,B_0005,Pitch Perfect 3
A_0068,Downsizing,B_0009,Downsizing
A_0072,The Disaster Artist,B_0007,The Disaster Artist
A_0098,The Outsider,B_0030,The Outsider
A_0098,The Outsider,B_2530,The Outsider
A_0107,Get Out,B_0546,Get Out
A_0110,Blade Runner 2049,B_0128,Blade Runner 2049
A_0112,Wind River,B_0240,Wind River
A_0115,Mute,B_0049,Mute
A_0121,Ex Machina,B_1661,Ex Machina
A_0141,The Shape of Water,B_0020,The Shape of Water
A_0144,Fantastic Beasts and Where to Find Them,B_0619,Fantastic Beasts and Where to Find Them
A_0145,Deadpool,B_1092,Deadpool
A_0146,Captain America: Civil War,B_0899,Captain America: Civil War
A_0147,Kingsman: The Golden Circle,B_0178,Kingsman: The Golden Circle
A_0148,Transformers: The Last Knight,B_0339,Transformers: The Last Knight
A_0156,Beauty and the Beast,B_0493,Beauty and the Beast
A_0157,Suicide Squad,B_0750,Suicide Squad
A_0161,Moana,B_0651,Moana
A_0164,Bright,B_0180,Bright
A_0165,When We First Met,B_0090,When We First Met
A_0171,It,B_0152,It
A_0174,Alien: Covenant,B_0397,Alien: Covenant
A_0176,The Ritual,B_0088,The Ritual
A_0183,Split,B_0560,Split
A_0189,Demon House,B_0028,Demon House
A_0190,Jigsaw,B_0099,Jigsaw
A_0191,Monster Family,B_0089,Monster Family
A_0198,My Friend Dahmer,B_0051,My Friend Dahmer
A_0200,Leap!,B_0220,Leap!
A_0205,Zootopia,B_1054,Zootopia
A_0206,Sing,B_0626,Sing
A_0211,Frozen,B_2694,Frozen
A_0213,Cars 3,B_0238,Cars 3
A_0214,The Emoji Movie,B_0275,The Emoji Movie
A_0216,Trolls,B_0712,Trolls
A_0217,Inside Out,B_1398,Inside Out
A_0226,Beauty and the Beast,B_0493,Beauty and the Beast
A_0227,The Boss Baby,B_0428,The Boss Baby
A_0229,Loving Vincent,B_0141,Loving Vincent
A_0230,Paddington,B_1803,Paddington
A_0236,The Star,B_0034,The Star
A_0239,"Three Billboards Outside Ebbing, Missouri",B_0038,"Three Billboards Outside Ebbing, Missouri"
A_0244,Call Me by Your Name,B_0016,Call Me by Your Name
A_0245,The Theory of Everything,B_1961,The Theory of Everything
A_0261,Guardians of the Galaxy,B_2110,Guardians of the Galaxy
A_0262,Baywatch,B_0369,Baywatch
A_0263,Avengers: Age of Ultron,B_1491,Avengers: Age of Ultron
A_0276,Logan,B_0525,Logan
A_0280,Pirates of the Caribbean: Dead Men Tell No Tales,B_0300,Pirates of the Caribbean: Dead Men Tell No Tales
A_0286,Mad Max: Fury Road,B_1554,Mad Max: Fury Road
A_0293,Doctor Strange,B_0650,Doctor Strange
A_0295,John Wick: Chapter 2,B_0502,John Wick: Chapter 2
A_0300,The Square,B_0110,The Square
A_0315,Logan Lucky,B_0212,Logan Lucky
A_0318,Dear Dictator,B_0023,Dear Dictator
A_0321,The Wolf of Wall Street,B_2670,The Wolf of Wall Street
A_0338,The Killing of a Sacred Deer,B_0138,The Killing of a Sacred Deer
A_0340,My Cousin Rachel,B_0371,My Cousin Rachel
A_0348,Atomic Blonde,B_0239,Atomic Blonde
A_0356,The Gift,B_1452,The Gift
A_0357,The Vanishing of Sidney Hall,B_0017,The Vanishing of Sidney Hall
A_0359,Gone Girl,B_2050,Gone Girl
A_0360,Sicario,B_1322,Sicario
A_0365,Interstellar,B_1859,Interstellar
A_0368,The Martian,B_1282,The Martian
A_0371,Geostorm,B_0095,Geostorm
A_0373,Batman v Superman: Dawn of Justice,B_0989,Batman v Superman: Dawn of Justice
A_0375,Thor: The Dark World,B_2729,Thor: The Dark World
A_0394,The Jungle Book,B_0931,The Jungle Book
A_0396,Kong: Skull Island,B_0429,Kong: Skull Island
A_0399,The Mummy,B_0331,The Mummy
A_0401,Ghostbusters,B_0835,Ghostbusters
A_0409,Crimson Peak,B_1241,Crimson Peak
A_0410,Warcraft,B_0863,Warcraft
A_0413,Cinderella,B_1521,Cinderella
A_0415,Happy Death Day,B_0139,Happy Death Day
A_0422,Annabelle: Creation,B_0274,Annabelle: Creation
A_0423,10 Cloverfield Lane,B_1077,10 Cloverfield Lane
A_0424,The Dark Tower,B_0268,The Dark Tower
A_0428,47 Meters Down,B_0332,47 Meters Down
A_0432,Life,B_0473,Life
A_0432,Life,B_1208,Life
A_0434,Gerald's Game,B_0359,Gerald's Game
A_0435,The Babysitter,B_0273,The Babysitter
A_0436,It,B_0152,It
A_0445,It Comes at Night,B_0352,It Comes At Night
A_0447,It Follows,B_1658,It Follows
A_0451,Hellraiser: Judgment,B_0093,Hellraiser: Judgment
A_0456,A Cure for Wellness,B_0495,A Cure For Wellness
A_0457,Scouts Guide to the Zombie Apocalypse,B_1328,Scouts Guide to the Zombie Apocalypse
A_0459,The Neon Demon,B_0872,The Neon Demon
A_0466,The Breadwinner,B_0010,The Breadwinner
A_0471,The Secret Life of Pets,B_0776,The Secret Life of Pets
A_0472,Big Hero 6,B_1925,Big Hero 6
A_0480,Hercules,B_2176,Hercules
A_0481,Finding Dory,B_0806,Finding Dory
A_0483,Sausage Party,B_0807,Sausage Party
A_0495,Batman: Gotham by Gaslight,B_0121,Batman: Gotham by Gaslight
A_0499,Minions,B_1335,Minions
A_0506,Despicable Me 2,B_2885,Despicable Me 2
A_0511,Darkest Hour,B_0042,Darkest Hour
A_0514,Wonder,B_0067,Wonder
A_0536,Fifty Shades of Grey,B_1762,Fifty Shades of Grey
A_0538,American Made,B_0146,American Made
A_0541,The Fate of the Furious,B_0464,The Fate of the Furious
A_0543,Kingsman: The Secret Service,B_1709,Kingsman: The Secret Service
A_0544,X-Men: Apocalypse,B_0865,X-Men: Apocalypse
A_0548,John Wick,B_2008,John Wick
A_0551,The Hitman's Bodyguard,B_0209,The Hitman's Bodyguard
A_0555,7 Guardians of the Tomb,B_0064,7 Guardians of the Tomb
A_0559,La La Land,B_0557,La La Land
A_0566,The Big Sick,B_0346,The Big Sick
A_0580,Ant-Man,B_1333,Ant-Man
A_0587,A Bad Moms Christmas,B_0070,A Bad Moms Christmas
A_0591,The Hateful Eight,B_1149,The Hateful Eight
A_0592,Arrival,B_0701,Arrival
A_0594,Hangman,B_0060,Hangman
A_0595,The Snowman,B_0123,The Snowman
A_0597,Suburbicon,B_0078,Suburbicon
A_0599,The Maze Runner,B_2081,The Maze Runner
A_0603,What Happened to Monday,B_0392,What Happened to Monday
A_0608,The Girl on the Train,B_0725,The Girl on the Train
A_0609,Prisoners,B_2903,Prisoners
A_0613,Divergent,B_2386,Divergent
A_0615,Ghost in the Shell,B_0430,Ghost in the Shell
A_0631,War for the Planet of the Apes,B_0270,War for the Planet of the Apes
A_0633,Jurassic World,B_1431,Jurassic World
A_0636,Captain America: The Winter Soldier,B_2323,Captain America: The Winter Soldier
A_0642,Terminator Genisys,B_1400,Terminator Genisys
A_0643,The Revenant,B_1116,The Revenant
A_0647,The Mountain Between Us,B_0145,The Mountain Between Us
A_0648,Spectre,B_1243,Spectre
A_0652,Gods of Egypt,B_1057,Gods Of Egypt
A_0656,Man of Steel,B_2947,Man of Steel
A_0669,Hercules,B_2176,Hercules
A_0670,The Legend of Tarzan,B_0839,The Legend of Tarzan
A_0673,Ghostbusters,B_0835,Ghostbusters
A_0675,The Mummy,B_0331,The Mummy
A_0679,Knock Knock,B_1353,Knock Knock
A_0680,Cult of Chucky,B_0324,Cult of Chucky
A_0685,Carrie,B_2828,Carrie
A_0686,Carrie,B_2828,Carrie
A_0688,Death Note,B_0383,Death Note
A_0689,Don't Breathe,B_0781,Don't Breathe
A_0691,The Conjuring 2,B_0898,The Conjuring 2
A_0694,The Belko Experiment,B_0482,The Belko Experiment
A_0695,The Shallows,B_0874,The Shallows
A_0708,Nails,B_0259,Nails
A_0715,Dracula Untold,B_1991,Dracula Untold
A_0717,Beauty and the Beast,B_0493,Beauty and the Beast
A_0719,The Bad Batch,B_0341,The Bad Batch
A_0720,Morgan,B_0797,Morgan
A_0722,Underworld: Blood Wars,B_0568,Underworld: Blood Wars
A_0730,How to Train Your Dragon 2,B_2169,How to Train Your Dragon 2
A_0733,My Little Pony: The Movie,B_0124,My Little Pony: The Movie
A_0735,The Book of Life,B_2011,The Book of Life
A_0736,Tarzan,B_1984,Tarzan
A_0744,Kung Fu Panda 3,B_1021,Kung Fu Panda 3
A_0760,A Monster Calls,B_0621,A Monster Calls
A_0762,Ice Age: Collision Course,B_0838,Ice Age: Collision Course
A_0765,Monsters University,B_2978,Monsters University
A_0773,Storks,B_0754,Storks
A_0774,The Jungle Book,B_0931,The Jungle Book
A_0779,The Florida Project,B_0081,The Florida Project
A_0786,Bullet Head,B_0173,Bullet Head
A_0788,Josie,B_0025,Josie
A_0790,Icarus,B_0416,Icarus
A_0791,Patriots Day,B_0630,Patriots Day
A_0796,The Equalizer,B_2075,The Equalizer
A_0802,Snatched,B_0399,Snatched
A_0804,The Magnificent Seven,B_0751,The Magnificent Seven
A_0814,Mission: Impossible - Rogue Nation,B_1337,Mission: Impossible Rogue Nation
A_0816,Battle of the Sexes,B_0149,Battle of the Sexes
A_0837,The House,B_0306,The House
A_0843,Just Getting Started,B_0040,Just Getting Started
A_0860,The Hunger Games: Catching Fire,B_2696,The Hunger Games: Catching Fire
A_0865,The Nice Guys,B_0933,The Nice Guys
A_0878,Thelma,B_0117,Thelma
A_0880,1922,B_0296,1922
A_0883,Wonderstruck,B_0727,Wonderstruck
A_0885,Passengers,B_0618,Passengers
A_0886,Her,B_2582,Her
A_0887,The Circle,B_0431,The Circle
A_0887,The Circle,B_1874,The Circle
A_0889,The Space Between Us,B_0533,The Space Between Us
A_0896,Fantastic Four,B_1336,Fantastic Four
A_0898,Flatliners,B_0155,Flatliners
A_0899,Gravity,B_2727,Gravity
A_0900,Maze Runner: The Scorch Trials,B_1350,Maze Runner: The Scorch Trials
A_0912,The Lost City of Z,B_0475,The Lost City of Z
A_0913,San Andreas,B_1433,San Andreas
A_0917,About Time,B_2798,About Time
A_0919,The Hobbit: The Battle of the Five Armies,B_1888,The Hobbit: The Battle of the Five Armies
A_0920,Assassin's Creed,B_0616,Assassin's Creed
A_0923,Miss Peregrine's Home for Peculiar Children,B_0744,Miss Peregrine's Home for Peculiar Children
A_0928,A Ghost Story,B_0314,A Ghost Story
A_0929,Maleficent,B_2172,Maleficent
A_0930,Into the Woods,B_1860,Into the Woods
A_0933,300: Rise of an Empire,B_2473,300: Rise of an Empire
A_0936,Pan,B_1341,Pan
A_0937,Tomorrowland,B_1458,Tomorrowland
A_0939,The Babadook,B_1836,The Babadook
A_0940,The Purge: Election Year,B_0869,The Purge: Election Year
A_0941,Leatherface,B_0203,Leatherface
A_0942,Resident Evil: The Final Chapter,B_0524,Resident Evil: The Final Chapter
A_0946,Bone Tomahawk,B_1314,Bone Tomahawk
A_0948,Pride and Prejudice and Zombies,B_1084,Pride and Prejudice and Zombies
A_0951,Green Room,B_0994,Green Room
A_0952,The Autopsy of Jane Doe,B_0483,The Autopsy of Jane Doe
A_0953,Hush,B_1175,Hush
A_0955,Better Watch Out,B_0214,Better Watch Out
A_0956,The Boy,B_1095,The Boy
A_0956,The Boy,B_1223,The Boy
A_0957,Insidious: Chapter 2,B_2864,Insidious: Chapter 2
A_0964,Insidious: Chapter 3,B_1467,Insidious: Chapter 3
A_0977,The Visit,B_1318,The Visit
A_0978,The Mortal Instruments: City of Bones,B_2929,The Mortal Instruments: City of Bones
A_0982,Carnage Park,B_1041,Carnage Park
A_0983,Lights Out,B_0849,Lights Out
A_0984,Cabin Fever,B_1267,Cabin Fever
A_0991,Kubo and the Two Strings,B_0810,Kubo and the Two Strings
A_1005,Hotel Transylvania 2,B_1303,Hotel Transylvania 2
A_1009,Kingsglaive: Final Fantasy XV,B_0889,Kingsglaive: Final Fantasy XV
A_1017,Smurfs: The Lost Village,B_0459,Smurfs: The Lost Village
A_1021,The Good Dinosaur,B_1240,The Good Dinosaur
A_1028,The Nut Job 2: Nutty by Nature,B_0237,The Nut Job 2: Nutty by Nature
A_1036,Cinderella,B_1521,Cinderella
A_1043,The Danish Girl,B_1222,The Danish Girl
A_1049,Only the Brave,B_0116,Only the Brave
A_1054,Good Time,B_0247,Good Time
A_1058,Nocturnal Animals,B_0699,Nocturnal Animals
A_1060,The Forgiven,B_0014,The Forgiven
A_1061,Jason Bourne,B_0780,Jason Bourne
A_1063,Furious 7,B_1493,Furious 7
A_1065,Fury,B_1989,Fury
A_1071,Spy,B_1497,Spy
A_1079,Jungle,B_0229,Jungle
A_1080,Pitch Perfect 2,B_1494,Pitch Perfect 2
A_1083,Rough Night,B_0372,Rough Night
A_1085,Girls Trip,B_0271,Girls Trip
A_1093,Entourage,B_1498,Entourage
A_1097,The DUFF,B_1723,The DUFF
A_1102,The Big Short,B_1189,The Big Short
A_1128,Inherent Vice,B_1798,Inherent Vice
A_1129,Veronica Mars,B_2586,Veronica Mars
A_1132,Midnight Special,B_1023,Midnight Special
A_1134,Now You See Me 2,B_0897,Now You See Me 2
A_1145,Crooked House,B_0132,Crooked House
A_1151,Jack Reacher: Never Go Back,B_0717,Jack Reacher: Never Go Back
A_1153,Nerve,B_0852,Nerve
A_1154,The Hunger Games: Mockingjay - Part 2,B_1180,The Hunger Games: Mockingjay - Part 2
A_1154,The Hunger Games: Mockingjay - Part 2,B_1890,The Hunger Games: Mockingjay - Part 1
A_1155,Jupiter Ascending,B_1708,Jupiter Ascending
A_1161,X-Men: Days of Future Past,B_2230,X-Men: Days of Future Past
A_1166,The Hunger Games: Mockingjay - Part 1,B_1180,The Hunger Games: Mockingjay - Part 2
A_1166,The Hunger Games: Mockingjay - Part 1,B_1890,The Hunger Games: Mockingjay - Part 1
A_1171,The Lobster,B_0976,The Lobster
A_1173,Insurgent,B_1611,Insurgent
A_1181,xXx: Return of Xander Cage,B_0522,xXx: Return of Xander Cage
A_1182,Everest,B_1279,Everest
A_1187,The Shack,B_0497,The Shack
A_1192,The Hobbit: The Desolation of Smaug,B_2637,The Hobbit: The Desolation of Smaug
A_1194,Ender's Game,B_2758,Ender's Game
A_1196,The Great Wall,B_0537,The Great Wall
A_1197,Colossal,B_0433,Colossal
A_1203,The Age of Adaline,B_1527,The Age of Adaline
A_1204,Pixels,B_1429,Pixels
A_1210,The Huntsman: Winter's War,B_0935,The Huntsman: Winter's War
A_1212,Mr. Nobody,B_2725,Mr. Nobody
A_1221,The Void,B_0545,The Void
A_1222,The Limehouse Golem,B_0279,The Limehouse Golem
A_1231,The Vault,B_0391,The Vault
A_1236,The Green Inferno,B_1304,The Green Inferno
A_1242,Victor Crowley,B_0119,Victor Crowley
A_1247,Goosebumps,B_1271,Goosebumps
A_1253,You're Next,B_2823,You're Next
A_1264,Guardians of the Galaxy,B_2110,Guardians of the Galaxy
A_1275,Ghost in the Shell,B_0430,Ghost in the Shell
